Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%,Transfer_Value,Transfer_Value_Str
Mads Roerslev,dk DEN,DF,Brentford,25,1101,0,2,2,0,0.2,3.0,17,51,54,0.0,0.16,0.02,0.24,N/A,0.16,0.0,20.8,422,78.7,6925,N/A,N/A,N/A,14,37,11,4,N/A,N/A,N/A,N/A,18,8,N/A,17,12,5,7,4,645,49,234,268,146,20,N/A,N/A,352,N/A,13,0,9,6,407,6,N/A,0,31,39,10,14,41.7,6.3,€6.3M
Morgan Rogers,eng ENG,"FW,MF",Aston Villa,22,2763,8,8,9,0,6.1,6.9,102,113,171,0.26,0.26,0.2,0.22,N/A,0.62,0.15,15.8,606,73.9,8871,N/A,N/A,N/A,45,69,51,2,N/A,N/A,N/A,N/A,35,18,N/A,20,24,7,17,5,1229,36,182,535,537,133,N/A,N/A,718,N/A,62,32,102,67,866,46,N/A,2,21,103,11,43,20.4,30.5,€30.5M
Cristian Romero,ar ARG,DF,Tottenham,27,1416,1,0,3,0,1.6,0.6,12,71,3,0.06,0.0,0.1,0.04,N/A,0.51,0.06,9.1,1094,89.5,20402,N/A,N/A,N/A,7,109,8,1,N/A,N/A,N/A,N/A,35,29,N/A,9,18,3,15,21,1377,157,594,720,74,23,N/A,N/A,896,N/A,18,0,10,5,936,14,N/A,2,3,90,41,27,60.3,7.6,€7.6M
Georginio Rutter,fr FRA,"MF,FW",Brighton,23,1656,5,3,2,0,4.6,2.5,42,67,79,0.27,0.16,0.25,0.14,N/A,0.65,0.1,15.5,237,66.8,3344,N/A,N/A,N/A,19,30,16,1,N/A,N/A,N/A,N/A,39,15,N/A,22,20,3,17,10,641,20,83,246,326,79,N/A,N/A,361,N/A,36,16,45,37,411,34,N/A,7,9,66,25,46,35.2,21.3,€21.3M
José Sá,pt POR,GK,Wolves,32,2430,0,0,2,0,0.0,0.1,0,2,0,0.0,0.0,0.0,0.01,N/A,0.0,N/A,N/A,544,63.8,14150,N/A,N/A,N/A,2,18,1,0,N/A,N/A,N/A,N/A,2,2,N/A,0,0,0,0,0,911,725,903,9,0,0,N/A,N/A,565,N/A,0,0,1,0,450,4,N/A,0,0,31,9,1,90.0,5.7,€5.7M
Bukayo Saka,eng ENG,"FW,MF",Arsenal,23,1454,6,10,3,0,5.9,6.7,79,61,222,0.37,0.62,0.36,0.42,N/A,1.18,0.09,15.9,470,75.1,7266,N/A,N/A,N/A,49,13,32,10,N/A,N/A,N/A,N/A,23,13,N/A,10,19,0,19,2,840,6,46,180,621,139,N/A,N/A,535,N/A,27,43,28,37,610,13,N/A,5,109,61,8,19,29.6,21.5,€21.5M
Mohamed Salah,eg EGY,FW,Liverpool,32,3011,28,18,1,0,23.9,12.8,142,129,425,0.84,0.54,0.71,0.38,N/A,1.4,0.17,14.8,811,71.3,12057,N/A,N/A,N/A,80,49,82,13,N/A,N/A,N/A,N/A,20,11,N/A,9,11,0,11,7,1526,10,88,464,993,320,N/A,N/A,1046,N/A,54,113,105,62,1276,22,N/A,16,67,93,9,12,42.9,37.6,€37.6M
William Saliba,fr FRA,DF,Arsenal,24,2814,2,0,2,1,2.3,0.9,16,134,6,0.06,0.0,0.07,0.03,N/A,0.06,0.33,5.4,2273,94.2,39201,N/A,N/A,N/A,7,175,6,0,N/A,N/A,N/A,N/A,58,34,N/A,6,23,14,9,21,2657,173,1036,1495,141,18,N/A,N/A,1642,N/A,17,1,17,7,2013,27,N/A,1,3,140,57,35,62.0,11.8,€11.8M
Robert Sánchez,es ESP,GK,Chelsea,27,2520,0,0,5,0,0.0,0.1,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,790,72.1,18908,N/A,N/A,N/A,2,24,1,0,N/A,N/A,N/A,N/A,0,0,N/A,1,0,0,0,2,1163,856,1152,11,0,0,N/A,N/A,777,N/A,0,0,0,0,724,2,N/A,0,0,41,8,0,100.0,6.5,€6.5M
Jadon Sancho,eng ENG,FW,Chelsea,25,1668,3,4,1,0,2.0,3.4,96,86,214,0.16,0.22,0.11,0.18,N/A,0.38,0.13,15.3,624,82.5,8433,N/A,N/A,N/A,35,25,46,0,N/A,N/A,N/A,N/A,10,6,N/A,7,9,0,9,2,915,11,114,267,544,116,N/A,N/A,619,N/A,32,55,29,21,715,6,N/A,5,23,97,5,10,33.3,19.8,€19.8M
Ibrahim Sangaré,ci CIV,MF,Nott'ham Forest,27,295,0,1,2,0,0.0,0.4,0,14,2,0.0,0.31,0.01,0.12,N/A,0.31,0.0,32.0,131,80.4,1910,N/A,N/A,N/A,4,11,2,0,N/A,N/A,N/A,N/A,18,10,N/A,6,5,0,5,3,208,8,49,127,34,7,N/A,N/A,85,N/A,2,0,4,1,112,8,N/A,0,0,23,6,8,42.9,1.9,€1.9M
Pablo Sarabia,es ESP,"MF,FW",Wolves,32,716,3,2,3,0,2.9,1.6,12,51,52,0.38,0.25,0.36,0.2,N/A,1.01,0.18,18.9,260,70.1,4467,N/A,N/A,N/A,13,36,17,2,N/A,N/A,N/A,N/A,15,8,N/A,5,10,0,10,4,465,4,53,227,188,23,N/A,N/A,272,N/A,14,0,16,12,321,14,N/A,5,40,29,4,12,25.0,6.9,€6.9M
Ismaila Sarr,sn SEN,"MF,FW",Crystal Palace,27,2392,7,4,4,0,8.7,7.0,67,76,164,0.26,0.15,0.33,0.26,N/A,0.9,0.15,13.3,438,66.6,6582,N/A,N/A,N/A,37,26,36,8,N/A,N/A,N/A,N/A,21,10,N/A,16,22,7,15,8,954,39,156,367,441,118,N/A,N/A,526,N/A,42,26,61,41,650,12,N/A,11,50,99,31,46,40.3,26.3,€26.3M
Sávio,br BRA,"FW,MF",Manchester City,21,1734,1,8,3,0,4.9,6.8,133,66,239,0.05,0.42,0.25,0.35,N/A,1.09,0.02,17.7,676,80.9,10078,N/A,N/A,N/A,44,19,47,8,N/A,N/A,N/A,N/A,22,16,N/A,9,13,2,11,6,1071,14,55,281,754,149,N/A,N/A,766,N/A,44,73,42,37,834,17,N/A,3,81,79,1,2,33.3,24.0,€24.0M
Oliver Scarles,eng ENG,DF,West Ham,19,594,0,0,1,0,0.1,0.0,11,21,39,0.0,0.0,0.02,0.0,N/A,0.0,0.0,20.2,260,78.1,3880,N/A,N/A,N/A,1,9,5,1,N/A,N/A,N/A,N/A,17,11,N/A,8,14,2,12,10,420,27,140,166,118,7,N/A,N/A,190,N/A,9,1,10,3,243,4,N/A,1,13,33,5,5,50.0,3.6,€3.6M
Kevin Schade,de GER,FW,Brentford,23,1998,8,2,3,0,6.5,3.4,56,32,144,0.36,0.09,0.29,0.15,N/A,0.9,0.17,11.9,287,58.9,4447,N/A,N/A,N/A,20,29,9,3,N/A,N/A,N/A,N/A,34,23,N/A,8,15,2,13,5,780,37,128,217,450,124,N/A,N/A,395,N/A,26,34,52,34,484,19,N/A,13,36,76,76,63,54.7,27.2,€27.2M
Fabian Schär,ch SUI,DF,Newcastle Utd,33,2575,4,0,7,1,2.1,0.4,14,95,17,0.14,0.0,0.07,0.01,N/A,0.35,0.14,21.8,1458,83.6,29169,N/A,N/A,N/A,5,139,10,0,N/A,N/A,N/A,N/A,32,19,N/A,20,36,24,12,40,2034,237,1061,857,127,31,N/A,N/A,1284,N/A,23,2,11,6,1417,31,N/A,4,9,123,40,61,39.6,9.8,€9.8M
Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,32,103,0,0,0,0,0.2,0.2,4,5,9,0.0,0.0,0.14,0.14,N/A,1.75,0.0,17.7,39,78.0,591,N/A,N/A,N/A,3,4,2,0,N/A,N/A,N/A,N/A,2,0,N/A,3,6,0,6,0,79,2,9,31,41,6,N/A,N/A,30,N/A,1,1,7,0,41,1,N/A,0,4,6,3,4,42.9,0.6,€0.6M
Alex Scott,eng ENG,MF,Bournemouth,21,683,0,0,2,0,0.7,0.8,14,48,32,0.0,0.0,0.09,0.11,N/A,0.66,0.0,20.0,252,82.9,4041,N/A,N/A,N/A,10,37,4,0,N/A,N/A,N/A,N/A,25,12,N/A,21,15,3,12,10,437,21,78,237,127,17,N/A,N/A,232,N/A,8,2,22,8,262,10,N/A,0,5,49,6,7,46.2,5.1,€5.1M
Matz Sels,be BEL,GK,Nott'ham Forest,33,3060,0,0,3,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,454,50.5,17261,N/A,N/A,N/A,1,39,2,0,N/A,N/A,N/A,N/A,1,1,N/A,0,0,0,0,0,990,757,975,15,0,0,N/A,N/A,483,N/A,0,0,0,0,383,0,N/A,0,0,11,14,2,87.5,5.5,€5.5M
Nélson Semedo,pt POR,DF,Wolves,31,2661,0,4,7,0,0.8,2.7,61,70,109,0.0,0.14,0.03,0.09,N/A,0.2,0.0,23.4,973,80.1,14811,N/A,N/A,N/A,21,63,25,11,N/A,N/A,N/A,N/A,58,34,N/A,23,28,10,18,23,1551,116,446,707,416,24,N/A,N/A,790,N/A,36,9,40,19,882,44,N/A,4,58,121,27,41,39.7,10.2,€10.2M
Antoine Semenyo,gh GHA,FW,Bournemouth,25,2907,9,4,9,0,9.3,5.7,132,106,259,0.28,0.12,0.29,0.18,N/A,1.15,0.08,17.2,728,73.3,10406,N/A,N/A,N/A,44,48,44,8,N/A,N/A,N/A,N/A,53,34,N/A,26,59,8,51,10,1485,44,181,520,817,176,N/A,N/A,898,N/A,64,64,78,71,1032,65,N/A,14,52,147,60,72,45.5,28.1,€28.1M
Marcos Senesi,ar ARG,DF,Bournemouth,27,1014,0,0,5,0,0.8,0.2,12,51,5,0.0,0.0,0.07,0.02,N/A,0.0,0.0,6.0,493,76.6,10211,N/A,N/A,N/A,3,73,12,3,N/A,N/A,N/A,N/A,35,21,N/A,16,15,7,8,11,783,67,349,376,67,12,N/A,N/A,483,N/A,14,0,6,5,493,19,N/A,0,10,67,23,27,46.0,5.3,€5.3M
Ryan Sessegnon,eng ENG,"FW,DF",Fulham,24,414,4,2,0,0,1.6,0.9,12,14,47,0.87,0.43,0.34,0.19,N/A,1.52,0.31,12.6,108,74.5,1543,N/A,N/A,N/A,9,7,3,1,N/A,N/A,N/A,N/A,19,10,N/A,8,9,0,9,2,230,10,51,79,105,35,N/A,N/A,116,N/A,8,8,13,6,134,14,N/A,1,13,20,7,9,43.8,4.9,€4.9M
Luke Shaw,eng ENG,DF,Manchester Utd,29,173,0,0,1,0,0.0,0.7,6,18,7,0.0,0.0,0.02,0.37,N/A,0.0,0.0,23.1,159,84.1,2589,N/A,N/A,N/A,5,12,3,1,N/A,N/A,N/A,N/A,3,2,N/A,0,2,1,1,2,204,8,73,94,37,4,N/A,N/A,151,N/A,6,0,1,0,161,2,N/A,0,9,9,3,0,100.0,0.9,€0.9M
Bernardo Silva,pt POR,"MF,FW",Manchester City,30,2401,3,4,7,0,3.2,4.4,94,115,184,0.11,0.15,0.12,0.16,N/A,0.37,0.11,12.9,1370,87.1,20876,N/A,N/A,N/A,47,75,33,7,N/A,N/A,N/A,N/A,52,34,N/A,28,33,7,26,20,1816,48,318,739,777,131,N/A,N/A,1137,N/A,60,31,21,32,1346,26,N/A,3,54,93,5,10,33.3,21.5,€21.5M
Jota Silva,pt POR,"FW,MF",Nott'ham Forest,25,844,3,1,5,0,2.0,2.9,20,18,58,0.32,0.11,0.22,0.31,N/A,0.75,0.14,14.5,115,60.5,1635,N/A,N/A,N/A,14,4,9,3,N/A,N/A,N/A,N/A,25,13,N/A,20,9,1,8,12,347,19,82,98,178,45,N/A,N/A,172,N/A,12,8,24,12,198,24,N/A,8,21,42,21,27,43.8,9.6,€9.6M
Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,19,96,0,0,1,0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,107,93.0,1754,N/A,N/A,N/A,0,3,0,0,N/A,N/A,N/A,N/A,1,0,N/A,1,1,1,0,0,123,9,61,59,3,1,N/A,N/A,79,N/A,0,0,1,0,101,0,N/A,0,0,3,1,3,25.0,0.6,€0.6M
Luis Sinisterra,co COL,"FW,MF",Bournemouth,25,236,1,1,0,0,1.2,1.4,19,6,38,0.38,0.38,0.46,0.54,N/A,2.29,0.08,14.8,73,78.5,1067,N/A,N/A,N/A,9,6,2,2,N/A,N/A,N/A,N/A,7,2,N/A,4,3,0,3,1,155,7,18,41,96,23,N/A,N/A,95,N/A,6,10,6,3,102,4,N/A,1,7,17,3,7,30.0,2.5,€2.5M
Oliver Skipp,eng ENG,MF,Leicester City,24,907,0,0,7,0,0.2,0.3,15,29,18,0.0,0.0,0.02,0.03,N/A,0.1,0.0,21.0,352,84.6,5339,N/A,N/A,N/A,9,28,4,0,N/A,N/A,N/A,N/A,17,4,N/A,6,15,3,12,9,503,23,111,316,80,7,N/A,N/A,295,N/A,7,3,11,5,350,17,N/A,0,4,37,10,5,66.7,6.3,€6.3M
William Smallbone,ie IRL,MF,Southampton,25,612,1,0,1,0,0.4,0.6,5,23,21,0.15,0.0,0.06,0.09,N/A,0.15,0.17,19.3,242,77.3,3918,N/A,N/A,N/A,9,10,3,2,N/A,N/A,N/A,N/A,17,10,N/A,12,7,0,7,2,378,15,74,186,122,14,N/A,N/A,169,N/A,8,1,9,5,228,10,N/A,0,31,23,4,2,66.7,4.3,€4.3M
Adam Smith,eng ENG,DF,Bournemouth,34,1409,0,0,6,0,0.7,0.3,12,40,31,0.0,0.0,0.04,0.02,N/A,0.0,0.0,16.9,436,75.7,7088,N/A,N/A,N/A,7,41,8,5,N/A,N/A,N/A,N/A,21,10,N/A,13,12,5,7,14,707,39,217,332,162,6,N/A,N/A,305,N/A,15,0,10,6,333,15,N/A,0,30,43,12,13,48.0,6.1,€6.1M
Emile Smith Rowe,eng ENG,MF,Fulham,24,1852,6,2,2,0,4.4,1.1,50,120,113,0.29,0.1,0.21,0.05,N/A,0.49,0.18,15.4,834,90.0,11939,N/A,N/A,N/A,18,74,15,1,N/A,N/A,N/A,N/A,30,17,N/A,16,20,2,18,11,1112,20,153,525,444,55,N/A,N/A,721,N/A,38,11,32,13,853,17,N/A,4,13,69,6,17,26.1,15.4,€15.4M
Dominic Solanke,eng ENG,FW,Tottenham,27,2119,8,3,0,0,10.1,2.9,29,45,88,0.34,0.13,0.43,0.13,N/A,1.02,0.14,12.1,250,71.0,3344,N/A,N/A,N/A,14,27,9,0,N/A,N/A,N/A,N/A,18,11,N/A,10,18,7,11,0,636,31,68,290,284,111,N/A,N/A,374,N/A,21,14,67,47,448,36,N/A,5,4,37,44,59,42.7,25.8,€25.8M
Carlos Soler,es ESP,"MF,FW",West Ham,28,1347,1,1,5,0,1.7,1.2,16,52,33,0.07,0.07,0.11,0.08,N/A,0.47,0.04,19.1,530,85.1,8264,N/A,N/A,N/A,14,41,11,0,N/A,N/A,N/A,N/A,13,10,N/A,16,19,6,13,8,738,26,172,384,187,22,N/A,N/A,338,N/A,16,4,11,14,502,24,N/A,0,31,63,9,11,45.0,13.5,€13.5M
Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,25,270,1,0,1,0,1.0,0.5,12,5,15,0.33,0.0,0.33,0.16,N/A,1.67,0.09,18.6,63,67.7,976,N/A,N/A,N/A,8,2,5,3,N/A,N/A,N/A,N/A,5,3,N/A,3,7,0,7,3,142,5,33,43,72,15,N/A,N/A,70,N/A,7,5,6,5,76,6,N/A,3,8,21,4,7,36.4,2.8,€2.8M
Tomáš Souček,cz CZE,MF,West Ham,30,2251,8,1,8,0,5.9,1.0,6,68,62,0.32,0.04,0.24,0.04,N/A,0.56,0.16,11.2,623,73.8,10461,N/A,N/A,N/A,14,58,8,1,N/A,N/A,N/A,N/A,40,19,N/A,17,34,17,17,18,1115,110,309,544,266,96,N/A,N/A,433,N/A,10,3,17,10,666,41,N/A,4,11,52,90,65,58.1,14.9,€14.9M
Boubakary Soumaré,fr FRA,MF,Leicester City,26,1953,0,0,8,0,0.3,0.4,31,94,21,0.0,0.0,0.01,0.02,N/A,0.0,0.0,23.4,982,86.7,14896,N/A,N/A,N/A,11,90,13,2,N/A,N/A,N/A,N/A,33,18,N/A,12,19,7,12,24,1318,62,348,833,150,17,N/A,N/A,787,N/A,16,3,20,21,925,21,N/A,0,8,130,19,9,67.9,13.0,€13.0M
Djed Spence,eng ENG,DF,Tottenham,24,1514,1,2,4,1,0.6,1.7,53,98,68,0.06,0.12,0.03,0.1,N/A,0.18,0.1,23.9,875,86.0,12585,N/A,N/A,N/A,10,73,17,7,N/A,N/A,N/A,N/A,39,30,N/A,6,22,9,13,17,1234,67,415,562,277,24,N/A,N/A,709,N/A,40,7,25,27,776,19,N/A,2,23,91,17,12,58.6,9.0,€9.0M
Jason Steele,eng ENG,GK,Brighton,34,180,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,101,90.2,2321,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,0,0,N/A,0,0,0,0,0,114,107,114,0,0,0,N/A,N/A,91,N/A,0,0,0,0,83,0,N/A,0,0,7,1,1,50.0,0.5,€0.5M
Jack Stephens,eng ENG,DF,Southampton,31,1164,1,0,2,2,0.6,0.2,13,50,2,0.08,0.0,0.04,0.01,N/A,0.15,0.25,11.0,751,91.9,12975,N/A,N/A,N/A,3,46,5,0,N/A,N/A,N/A,N/A,31,18,N/A,11,14,9,5,11,935,106,387,458,94,11,N/A,N/A,520,N/A,11,1,2,3,655,12,N/A,1,1,41,6,8,42.9,5.6,€5.6M
Raheem Sterling,eng ENG,"FW,MF",Arsenal,30,432,0,2,1,0,1.3,0.5,25,17,71,0.0,0.42,0.27,0.1,N/A,0.0,0.0,15.0,138,77.1,1762,N/A,N/A,N/A,8,4,9,2,N/A,N/A,N/A,N/A,8,4,N/A,4,3,0,3,1,241,2,8,51,185,35,N/A,N/A,172,N/A,9,15,11,14,183,12,N/A,4,14,13,1,3,25.0,4.1,€4.1M
Ross Stewart,sct SCO,FW,Southampton,28,241,0,0,1,0,0.2,0.0,1,1,6,0.0,0.0,0.07,0.0,N/A,0.0,0.0,12.4,47,75.8,667,N/A,N/A,N/A,0,1,1,0,N/A,N/A,N/A,N/A,3,2,N/A,4,3,0,3,0,90,7,21,35,34,5,N/A,N/A,46,N/A,0,1,5,7,67,6,N/A,1,0,2,7,13,35.0,2.3,€2.3M
Jakub Stolarczyk,pl POL,GK,Leicester City,24,540,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,152,67.9,4176,N/A,N/A,N/A,0,2,0,0,N/A,N/A,N/A,N/A,2,1,N/A,1,0,0,0,0,241,179,236,6,0,0,N/A,N/A,130,N/A,0,0,1,0,131,0,N/A,0,0,7,3,0,100.0,1.9,€1.9M
John Stones,eng ENG,"DF,MF",Manchester City,30,548,2,0,1,0,0.4,0.1,10,21,2,0.33,0.0,0.07,0.01,N/A,0.33,1.0,5.1,367,91.1,6382,N/A,N/A,N/A,2,42,0,0,N/A,N/A,N/A,N/A,6,2,N/A,0,5,3,2,4,442,40,142,234,68,4,N/A,N/A,292,N/A,14,0,2,0,333,2,N/A,0,0,22,8,6,57.1,3.4,€3.4M
Jørgen Strand Larsen,no NOR,FW,Wolves,25,2463,13,2,4,0,10.0,2.4,16,28,106,0.48,0.07,0.37,0.09,N/A,1.17,0.25,11.4,272,63.1,3547,N/A,N/A,N/A,19,18,4,1,N/A,N/A,N/A,N/A,9,6,N/A,23,18,4,14,5,695,34,83,329,284,104,N/A,N/A,328,N/A,13,9,88,32,507,46,N/A,14,6,42,66,96,40.7,28.6,€28.6M
Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24,1467,1,1,4,0,0.5,2.2,32,68,76,0.06,0.06,0.03,0.14,N/A,0.31,0.08,19.2,689,79.9,10831,N/A,N/A,N/A,17,43,21,9,N/A,N/A,N/A,N/A,29,16,N/A,12,17,7,10,10,1023,61,306,395,327,29,N/A,N/A,553,N/A,15,7,18,4,692,15,N/A,4,69,40,5,9,35.7,10.7,€10.7M
Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,23,1122,1,1,1,0,1.3,0.7,56,25,72,0.08,0.08,0.11,0.06,N/A,0.64,0.04,18.5,235,79.1,3417,N/A,N/A,N/A,9,6,11,6,N/A,N/A,N/A,N/A,16,14,N/A,5,9,0,9,6,483,13,64,178,259,48,N/A,N/A,313,N/A,34,23,37,22,338,18,N/A,2,24,51,8,20,28.6,12.5,€12.5M
Crysencio Summerville,nl NED,"FW,MF",West Ham,23,786,1,1,2,0,1.6,1.7,29,18,71,0.11,0.11,0.19,0.19,N/A,0.46,0.07,13.4,194,76.4,2881,N/A,N/A,N/A,17,13,12,5,N/A,N/A,N/A,N/A,13,7,N/A,6,13,4,9,0,372,9,47,147,181,38,N/A,N/A,207,N/A,15,13,20,16,259,9,N/A,4,21,38,4,9,30.8,8.9,€8.9M
Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29,979,4,0,2,0,3.4,0.2,16,18,46,0.37,0.0,0.31,0.02,N/A,1.1,0.19,14.0,144,74.2,2402,N/A,N/A,N/A,4,10,4,1,N/A,N/A,N/A,N/A,15,9,N/A,17,10,2,8,6,309,17,80,119,116,33,N/A,N/A,174,N/A,8,7,24,17,189,9,N/A,8,13,41,6,11,35.3,10.1,€10.1M
Dominik Szoboszlai,hu HUN,MF,Liverpool,24,2257,5,5,6,0,7.1,6.2,65,114,120,0.2,0.2,0.28,0.25,N/A,0.8,0.08,18.5,1015,84.5,15678,N/A,N/A,N/A,51,78,31,5,N/A,N/A,N/A,N/A,31,20,N/A,24,35,4,31,9,1435,23,183,696,574,96,N/A,N/A,732,N/A,46,17,34,21,980,37,N/A,4,34,120,18,22,45.0,18.1,€18.1M
James Tarkowski,eng ENG,DF,Everton,32,2922,1,1,6,0,1.3,2.9,9,75,3,0.03,0.03,0.04,0.09,N/A,0.12,0.07,8.4,1045,81.0,22119,N/A,N/A,N/A,16,83,11,0,N/A,N/A,N/A,N/A,64,40,N/A,15,57,42,15,41,1706,355,974,635,106,57,N/A,N/A,727,N/A,10,0,13,7,927,35,N/A,2,1,98,102,33,75.6,9.8,€9.8M
Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,26,1580,3,5,5,0,5.2,2.8,39,99,103,0.17,0.28,0.3,0.16,N/A,0.85,0.06,20.5,530,72.4,8961,N/A,N/A,N/A,36,61,29,9,N/A,N/A,N/A,N/A,39,23,N/A,16,15,3,12,4,956,18,108,358,511,49,N/A,N/A,540,N/A,37,7,36,43,612,25,N/A,4,89,96,24,31,43.6,19.0,€19.0M
Charlie Taylor,eng ENG,DF,Southampton,31,266,0,0,1,0,0.0,0.1,3,8,6,0.0,0.0,0.0,0.03,N/A,0.0,N/A,N/A,154,87.0,2691,N/A,N/A,N/A,1,8,2,1,N/A,N/A,N/A,N/A,7,5,N/A,1,5,3,2,3,219,21,93,91,36,1,N/A,N/A,91,N/A,3,0,1,1,133,2,N/A,0,9,7,4,2,66.7,1.2,€1.2M
Jack Taylor,ie IRL,MF,Ipswich Town,26,685,1,0,3,0,0.7,0.5,11,39,18,0.13,0.0,0.09,0.07,N/A,0.53,0.06,23.0,273,81.3,4780,N/A,N/A,N/A,5,28,8,1,N/A,N/A,N/A,N/A,17,8,N/A,11,9,2,7,7,433,27,123,234,87,8,N/A,N/A,211,N/A,9,1,9,6,274,14,N/A,0,6,43,7,6,53.8,4.7,€4.7M
Mathys Tel,fr FRA,FW,Tottenham,20,559,2,0,0,0,2.2,0.9,16,13,50,0.32,0.0,0.35,0.15,N/A,0.97,0.06,15.7,132,73.3,2396,N/A,N/A,N/A,9,9,9,4,N/A,N/A,N/A,N/A,6,2,N/A,5,3,0,3,0,266,1,27,95,152,30,N/A,N/A,182,N/A,16,7,16,9,192,6,N/A,0,25,27,1,2,33.3,6.7,€6.7M
Kenny Tete,nl NED,DF,Fulham,29,1438,0,2,3,0,1.2,0.9,33,46,45,0.0,0.13,0.08,0.05,N/A,0.13,0.0,16.1,645,81.2,10261,N/A,N/A,N/A,7,56,7,5,N/A,N/A,N/A,N/A,49,34,N/A,12,20,6,14,28,997,57,320,407,278,32,N/A,N/A,520,N/A,20,7,16,10,575,25,N/A,0,26,61,18,12,60.0,7.4,€7.4M
Thiago,br BRA,FW,Brentford,23,132,0,0,0,0,0.1,0.1,3,2,4,0.0,0.0,0.07,0.05,N/A,0.0,0.0,14.7,28,71.8,428,N/A,N/A,N/A,2,1,1,0,N/A,N/A,N/A,N/A,2,2,N/A,1,0,0,0,2,56,6,11,23,23,2,N/A,N/A,34,N/A,2,1,5,1,35,3,N/A,1,1,9,4,3,57.1,1.4,€1.4M
Luke Thomas,eng ENG,DF,Leicester City,23,783,0,0,1,0,0.1,0.1,3,26,9,0.0,0.0,0.01,0.02,N/A,0.0,0.0,18.7,378,78.9,6170,N/A,N/A,N/A,4,25,2,1,N/A,N/A,N/A,N/A,24,20,N/A,14,13,5,8,15,589,38,224,286,83,5,N/A,N/A,283,N/A,6,1,10,1,325,4,N/A,0,20,32,9,11,45.0,4.4,€4.4M
Youri Tielemans,be BEL,MF,Aston Villa,27,2915,2,7,4,0,3.0,6.9,37,226,44,0.06,0.22,0.09,0.21,N/A,0.34,0.06,20.4,1639,82.4,28103,N/A,N/A,N/A,59,221,35,4,N/A,N/A,N/A,N/A,82,56,N/A,33,36,15,21,21,2296,97,460,1324,537,41,N/A,N/A,1242,N/A,26,9,30,28,1610,40,N/A,0,115,140,22,18,55.0,16.0,€16.0M
Kieran Tierney,sct SCO,"DF,FW",Arsenal,27,181,0,0,0,0,0.2,0.9,5,12,22,0.0,0.0,0.1,0.43,N/A,0.0,0.0,2.6,96,82.1,1508,N/A,N/A,N/A,7,7,5,2,N/A,N/A,N/A,N/A,5,4,N/A,2,0,0,0,2,133,4,20,46,67,4,N/A,N/A,58,N/A,3,1,1,0,90,0,N/A,2,10,3,3,5,37.5,1.8,€1.8M
Jurriën Timber,nl NED,DF,Arsenal,23,2417,1,3,7,0,1.2,0.8,57,146,104,0.04,0.11,0.05,0.03,N/A,0.15,0.07,14.1,1194,85.6,17327,N/A,N/A,N/A,17,107,17,2,N/A,N/A,N/A,N/A,58,38,N/A,9,19,4,15,22,1661,51,304,859,505,66,N/A,N/A,890,N/A,27,11,33,24,1052,31,N/A,6,28,94,22,20,52.4,12.2,€12.2M
