Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%,Transfer_Value,Transfer_Value_Str
Lisandro Martínez,ar ARG,DF,Manchester Utd,27,1751,2,1,7,0,1.3,1.1,23,117,7,0.1,0.05,0.07,0.06,N/A,0.31,0.12,15.9,1200,89.4,20292,N/A,N/A,N/A,9,91,18,2,N/A,N/A,N/A,N/A,40,24,N/A,15,22,8,14,32,1524,156,713,697,125,18,N/A,N/A,1017,N/A,23,2,1,3,1069,22,N/A,0,9,81,16,13,55.2,9.7,€9.7M
Pape Matar Sarr,sn SEN,MF,Tottenham,22,1636,3,2,6,0,3.3,1.5,29,79,50,0.17,0.11,0.18,0.08,N/A,0.72,0.1,21.7,824,87.3,12681,N/A,N/A,N/A,14,82,10,2,N/A,N/A,N/A,N/A,42,30,N/A,12,23,9,14,24,1134,35,238,635,279,26,N/A,N/A,724,N/A,31,5,26,21,812,28,N/A,2,14,105,24,36,40.0,13.4,€13.4M
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,27,2442,14,2,2,0,12.1,3.1,37,46,114,0.52,0.07,0.45,0.11,N/A,0.92,0.2,15.6,269,65.0,3557,N/A,N/A,N/A,27,31,15,2,N/A,N/A,N/A,N/A,17,12,N/A,13,16,3,13,2,680,24,57,327,310,86,N/A,N/A,363,N/A,20,8,67,41,502,27,N/A,17,24,60,59,95,38.3,28.3,€28.3M
Stephy Mavididi,eng ENG,FW,Leicester City,26,1615,4,1,2,0,1.8,2.6,91,57,138,0.22,0.06,0.1,0.15,N/A,0.39,0.15,16.1,460,75.0,6191,N/A,N/A,N/A,22,32,26,7,N/A,N/A,N/A,N/A,34,19,N/A,28,26,2,24,11,863,23,132,327,421,61,N/A,N/A,583,N/A,40,27,39,35,623,18,N/A,3,69,83,9,15,37.5,18.2,€18.2M
Konstantinos Mavropanos,gr GRE,DF,West Ham,27,1944,0,0,6,1,1.5,0.5,16,60,2,0.0,0.0,0.07,0.02,N/A,0.23,0.0,14.8,1010,85.9,19926,N/A,N/A,N/A,5,60,4,1,N/A,N/A,N/A,N/A,32,22,N/A,11,23,17,6,38,1428,221,743,631,62,24,N/A,N/A,792,N/A,10,1,12,0,934,17,N/A,3,2,67,56,24,70.0,10.2,€10.2M
Noussair Mazraoui,ma MAR,DF,Manchester Utd,27,2639,0,1,2,0,0.7,1.3,37,102,51,0.0,0.03,0.02,0.05,N/A,0.1,0.0,20.6,1409,85.5,21053,N/A,N/A,N/A,18,118,18,5,N/A,N/A,N/A,N/A,102,60,N/A,34,33,8,25,34,1976,158,779,903,318,27,N/A,N/A,1086,N/A,29,3,23,16,1190,37,N/A,3,20,141,47,28,62.7,10.7,€10.7M
Bryan Mbeumo,cm CMR,FW,Brentford,25,3054,18,6,3,0,10.8,7.9,114,126,306,0.53,0.18,0.32,0.23,N/A,0.88,0.19,17.7,779,66.7,12432,N/A,N/A,N/A,65,54,55,16,N/A,N/A,N/A,N/A,44,29,N/A,13,22,3,19,14,1577,51,226,503,876,144,N/A,N/A,955,N/A,62,67,97,38,1072,23,N/A,11,177,139,32,69,31.7,33.1,€33.1M
James Mcatee,eng ENG,"MF,FW",Manchester City,22,304,3,0,1,0,2.8,0.3,7,6,26,0.89,0.0,0.83,0.1,N/A,1.18,0.25,14.3,86,78.9,1301,N/A,N/A,N/A,2,7,2,0,N/A,N/A,N/A,N/A,4,2,N/A,6,8,0,8,2,151,2,17,60,75,20,N/A,N/A,83,N/A,5,1,5,1,108,5,N/A,0,5,8,2,3,40.0,3.6,€3.6M
Kasey McAteer,ie IRL,"FW,MF",Leicester City,23,529,0,1,2,0,0.6,0.5,14,10,48,0.0,0.17,0.1,0.08,N/A,0.51,0.0,16.7,126,70.4,1750,N/A,N/A,N/A,6,6,6,2,N/A,N/A,N/A,N/A,12,9,N/A,12,12,1,11,3,257,16,49,100,114,19,N/A,N/A,157,N/A,9,7,11,7,174,14,N/A,2,14,30,10,15,40.0,5.7,€5.7M
Alex McCarthy,eng ENG,GK,Southampton,35,450,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,117,75.0,2823,N/A,N/A,N/A,0,5,0,0,N/A,N/A,N/A,N/A,0,0,N/A,0,0,0,0,0,173,141,173,0,0,0,N/A,N/A,100,N/A,0,0,0,0,88,0,N/A,0,0,4,2,0,100.0,1.2,€1.2M
John McGinn,sct SCO,"MF,FW",Aston Villa,30,1992,1,3,7,0,2.9,3.4,30,90,70,0.05,0.14,0.13,0.15,N/A,0.23,0.04,16.2,635,82.8,10675,N/A,N/A,N/A,27,60,27,7,N/A,N/A,N/A,N/A,31,22,N/A,15,20,2,18,14,965,27,154,514,307,52,N/A,N/A,530,N/A,16,6,33,25,677,43,N/A,3,50,92,15,10,60.0,20.2,€20.2M
Dwight McNeil,eng ENG,"MF,FW",Everton,25,1185,3,4,1,0,1.1,3.8,32,61,68,0.23,0.3,0.08,0.29,N/A,0.68,0.13,21.6,390,73.0,7325,N/A,N/A,N/A,33,35,33,10,N/A,N/A,N/A,N/A,11,6,N/A,11,7,0,7,5,645,3,65,280,315,22,N/A,N/A,374,N/A,29,4,22,28,435,6,N/A,1,92,65,3,14,17.6,14.0,€14.0M
Ben Mee,eng ENG,DF,Brentford,35,183,0,0,2,0,0.0,0.0,3,11,2,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,93,77.5,1751,N/A,N/A,N/A,0,10,0,0,N/A,N/A,N/A,N/A,2,2,N/A,0,3,3,0,4,138,18,66,62,11,3,N/A,N/A,78,N/A,1,1,0,0,86,5,N/A,0,0,11,5,5,50.0,0.8,€0.8M
Mikel Merino,es ESP,"MF,FW",Arsenal,28,1401,6,2,2,0,4.4,1.9,9,61,86,0.39,0.13,0.28,0.12,N/A,0.77,0.19,10.5,412,77.9,5686,N/A,N/A,N/A,15,33,24,4,N/A,N/A,N/A,N/A,38,22,N/A,14,17,5,12,13,709,35,127,300,291,72,N/A,N/A,349,N/A,12,4,21,22,460,35,N/A,7,12,76,57,52,52.3,16.1,€16.1M
Nikola Milenković,rs SRB,DF,Nott'ham Forest,27,2970,4,2,4,0,3.6,1.0,3,49,6,0.12,0.06,0.11,0.03,N/A,0.21,0.15,12.1,728,81.1,14579,N/A,N/A,N/A,8,48,2,0,N/A,N/A,N/A,N/A,43,26,N/A,6,39,23,16,24,1228,231,673,477,82,59,N/A,N/A,472,N/A,3,2,2,2,619,17,N/A,1,0,74,92,36,71.9,11.9,€11.9M
Lewis Miley,eng ENG,MF,Newcastle Utd,19,249,1,0,0,0,0.5,0.0,2,14,7,0.36,0.0,0.2,0.01,N/A,0.72,0.33,14.6,142,87.7,2084,N/A,N/A,N/A,1,10,4,0,N/A,N/A,N/A,N/A,11,9,N/A,5,5,1,4,2,198,5,37,105,57,5,N/A,N/A,96,N/A,1,0,5,1,141,3,N/A,0,0,16,5,5,50.0,2.0,€2.0M
James Milner,eng ENG,MF,Brighton,39,169,0,0,1,0,0.2,0.2,1,10,10,0.0,0.0,0.09,0.12,N/A,0.0,0.0,16.0,55,75.3,899,N/A,N/A,N/A,4,3,1,1,N/A,N/A,N/A,N/A,5,2,N/A,0,4,2,2,2,92,3,13,48,31,4,N/A,N/A,46,N/A,1,0,0,0,58,3,N/A,0,8,2,0,1,0.0,0.8,€0.8M
