Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%
Adam Smith,eng ENG,DF,Bournemouth,34,1409,0,0,6,0,0.7,0.3,12,40,31,0.0,0.0,0.04,0.02,N/A,0.0,0.0,16.9,436,75.7,7088,N/A,N/A,N/A,7,41,8,5,N/A,N/A,N/A,N/A,21,10,N/A,13,12,5,7,14,707,39,217,332,162,6,N/A,N/A,305,N/A,15,0,10,6,333,15,N/A,0,30,43,12,13,48.0
Emile Smith Rowe,eng ENG,MF,Fulham,24,1886,6,2,2,0,4.4,1.1,50,120,115,0.29,0.1,0.21,0.05,N/A,0.48,0.17,15.6,844,90.1,12107,N/A,N/A,N/A,18,76,15,1,N/A,N/A,N/A,N/A,31,18,N/A,16,20,2,18,11,1128,20,155,534,449,55,N/A,N/A,734,N/A,38,11,35,13,867,18,N/A,4,13,69,6,17,26.1
Dominic Solanke,eng ENG,FW,Tottenham,27,2119,8,3,0,0,10.1,2.9,29,45,88,0.34,0.13,0.43,0.13,N/A,1.02,0.14,12.1,250,71.0,3344,N/A,N/A,N/A,14,27,9,0,N/A,N/A,N/A,N/A,18,11,N/A,10,18,7,11,0,636,31,68,290,284,111,N/A,N/A,374,N/A,21,14,67,47,448,36,N/A,5,4,37,44,59,42.7
Carlos Soler,es ESP,"MF,FW",West Ham,28,1358,1,1,5,0,1.7,1.2,16,52,33,0.07,0.07,0.11,0.08,N/A,0.46,0.04,19.1,536,85.1,8360,N/A,N/A,N/A,14,41,11,0,N/A,N/A,N/A,N/A,15,11,N/A,16,19,6,13,8,748,26,173,391,189,23,N/A,N/A,341,N/A,16,4,12,14,506,24,N/A,0,31,64,9,11,45.0
Ramón Sosa,py PAR,"FW,MF",Nott'ham Forest,25,295,1,0,1,0,1.0,0.5,12,6,17,0.31,0.0,0.31,0.15,N/A,1.53,0.09,18.6,66,68.0,1016,N/A,N/A,N/A,8,2,5,3,N/A,N/A,N/A,N/A,5,3,N/A,4,9,0,9,4,154,6,36,48,77,15,N/A,N/A,75,N/A,7,5,6,5,81,6,N/A,3,8,25,4,7,36.4
Tomáš Souček,cz CZE,MF,West Ham,30,2330,8,1,8,0,6.0,1.0,6,70,65,0.31,0.04,0.23,0.04,N/A,0.54,0.15,12.0,656,73.7,10935,N/A,N/A,N/A,14,59,8,1,N/A,N/A,N/A,N/A,42,19,N/A,17,35,17,18,18,1168,110,315,577,280,97,N/A,N/A,449,N/A,10,3,17,13,696,44,N/A,4,13,57,95,68,58.3
Boubakary Soumaré,fr FRA,MF,Leicester City,26,1960,0,0,8,0,0.3,0.4,31,95,21,0.0,0.0,0.01,0.02,N/A,0.0,0.0,23.4,985,86.7,14936,N/A,N/A,N/A,11,90,13,2,N/A,N/A,N/A,N/A,33,18,N/A,12,20,8,12,24,1324,64,352,835,150,17,N/A,N/A,788,N/A,16,3,20,21,929,21,N/A,0,8,130,20,9,69.0
Djed Spence,eng ENG,DF,Tottenham,24,1604,1,2,4,1,0.6,1.8,56,100,70,0.06,0.11,0.03,0.1,N/A,0.17,0.1,23.9,923,85.5,13205,N/A,N/A,N/A,11,74,18,8,N/A,N/A,N/A,N/A,40,30,N/A,7,24,9,15,18,1316,72,448,600,288,25,N/A,N/A,741,N/A,41,7,26,31,812,20,N/A,2,25,101,20,13,60.6
Jason Steele,eng ENG,GK,Brighton,34,180,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,101,90.2,2321,N/A,N/A,N/A,0,0,0,0,N/A,N/A,N/A,N/A,0,0,N/A,0,0,0,0,0,114,107,114,0,0,0,N/A,N/A,91,N/A,0,0,0,0,83,0,N/A,0,0,7,1,1,50.0
Jack Stephens,eng ENG,DF,Southampton,31,1209,1,0,2,2,0.6,0.2,13,53,2,0.07,0.0,0.04,0.01,N/A,0.15,0.25,11.0,786,92.0,13687,N/A,N/A,N/A,3,47,5,0,N/A,N/A,N/A,N/A,32,19,N/A,12,15,10,5,11,976,109,403,482,95,11,N/A,N/A,552,N/A,12,1,3,3,690,12,N/A,1,1,41,6,8,42.9
Raheem Sterling,eng ENG,"FW,MF",Arsenal,30,437,0,2,1,0,1.3,0.5,25,17,73,0.0,0.41,0.27,0.1,N/A,0.0,0.0,15.0,141,77.0,1785,N/A,N/A,N/A,8,4,9,2,N/A,N/A,N/A,N/A,8,4,N/A,4,3,0,3,1,247,2,8,52,190,37,N/A,N/A,178,N/A,9,15,11,14,188,12,N/A,4,14,14,1,3,25.0
Ross Stewart,sct SCO,FW,Southampton,28,286,0,0,1,0,0.3,0.0,1,1,6,0.0,0.0,0.08,0.0,N/A,0.0,0.0,11.6,49,73.1,692,N/A,N/A,N/A,0,1,1,0,N/A,N/A,N/A,N/A,3,2,N/A,4,3,0,3,0,96,7,21,36,39,6,N/A,N/A,49,N/A,0,1,5,7,72,7,N/A,1,0,2,8,15,34.8
Jakub Stolarczyk,pl POL,GK,Leicester City,24,630,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,177,68.3,4770,N/A,N/A,N/A,0,2,0,0,N/A,N/A,N/A,N/A,2,1,N/A,1,0,0,0,0,277,208,272,6,0,0,N/A,N/A,157,N/A,0,0,1,0,158,0,N/A,0,0,8,4,0,100.0
John Stones,eng ENG,"DF,MF",Manchester City,30,548,2,0,1,0,0.4,0.1,10,21,2,0.33,0.0,0.07,0.01,N/A,0.33,1.0,5.1,367,91.1,6382,N/A,N/A,N/A,2,42,0,0,N/A,N/A,N/A,N/A,6,2,N/A,0,5,3,2,4,442,40,142,234,68,4,N/A,N/A,292,N/A,14,0,2,0,333,2,N/A,0,0,22,8,6,57.1
Jørgen Strand Larsen,no NOR,FW,Wolves,25,2463,13,2,4,0,10.0,2.4,16,28,106,0.48,0.07,0.37,0.09,N/A,1.17,0.25,11.4,272,63.1,3547,N/A,N/A,N/A,19,18,4,1,N/A,N/A,N/A,N/A,9,6,N/A,23,18,4,14,5,695,34,83,329,284,104,N/A,N/A,328,N/A,13,9,88,32,507,46,N/A,14,6,42,66,96,40.7
Yukinari Sugawara,jp JPN,"DF,MF",Southampton,24,1467,1,1,4,0,0.5,2.2,32,68,76,0.06,0.06,0.03,0.14,N/A,0.31,0.08,19.2,689,79.9,10831,N/A,N/A,N/A,17,43,21,9,N/A,N/A,N/A,N/A,29,16,N/A,12,17,7,10,10,1023,61,306,395,327,29,N/A,N/A,553,N/A,15,7,18,4,692,15,N/A,4,69,40,5,9,35.7
Kamaldeen Sulemana,gh GHA,"FW,MF",Southampton,23,1178,1,1,2,0,1.4,1.0,57,26,76,0.08,0.08,0.1,0.08,N/A,0.61,0.04,18.8,253,79.8,3667,N/A,N/A,N/A,10,6,13,7,N/A,N/A,N/A,N/A,16,14,N/A,5,9,0,9,6,509,13,65,190,272,50,N/A,N/A,331,N/A,34,23,37,22,358,19,N/A,2,25,52,9,21,30.0
Crysencio Summerville,nl NED,"FW,MF",West Ham,23,786,1,1,2,0,1.6,1.7,29,18,71,0.11,0.11,0.19,0.19,N/A,0.46,0.07,13.4,194,76.4,2881,N/A,N/A,N/A,17,13,12,5,N/A,N/A,N/A,N/A,13,7,N/A,6,13,4,9,0,372,9,47,147,181,38,N/A,N/A,207,N/A,15,13,20,16,259,9,N/A,4,21,38,4,9,30.8
Sammie Szmodics,ie IRL,"FW,MF",Ipswich Town,29,979,4,0,2,0,3.4,0.2,16,18,46,0.37,0.0,0.31,0.02,N/A,1.1,0.19,14.0,144,74.2,2402,N/A,N/A,N/A,4,10,4,1,N/A,N/A,N/A,N/A,15,9,N/A,17,10,2,8,6,309,17,80,119,116,33,N/A,N/A,174,N/A,8,7,24,17,189,9,N/A,8,13,41,6,11,35.3
Dominik Szoboszlai,hu HUN,MF,Liverpool,24,2279,5,5,6,0,7.1,6.2,65,118,120,0.2,0.2,0.28,0.24,N/A,0.79,0.08,18.5,1029,84.6,15917,N/A,N/A,N/A,51,80,31,5,N/A,N/A,N/A,N/A,31,20,N/A,24,36,4,32,9,1450,24,188,704,576,96,N/A,N/A,740,N/A,46,17,34,22,991,37,N/A,4,34,122,18,22,45.0
James Tarkowski,eng ENG,DF,Everton,32,2922,1,1,6,0,1.3,2.9,9,75,3,0.03,0.03,0.04,0.09,N/A,0.12,0.07,8.4,1045,81.0,22119,N/A,N/A,N/A,16,83,11,0,N/A,N/A,N/A,N/A,64,40,N/A,15,57,42,15,41,1706,355,974,635,106,57,N/A,N/A,727,N/A,10,0,13,7,927,35,N/A,2,1,98,102,33,75.6
Marcus Tavernier,eng ENG,"FW,MF",Bournemouth,26,1670,3,5,5,0,5.3,2.8,41,102,106,0.16,0.27,0.29,0.15,N/A,0.81,0.06,20.2,553,72.5,9408,N/A,N/A,N/A,36,64,30,9,N/A,N/A,N/A,N/A,41,24,N/A,16,16,3,13,5,1000,18,114,385,523,51,N/A,N/A,567,N/A,40,7,39,43,641,28,N/A,4,91,101,25,31,44.6
Charlie Taylor,eng ENG,DF,Southampton,31,266,0,0,1,0,0.0,0.1,3,8,6,0.0,0.0,0.0,0.03,N/A,0.0,N/A,N/A,154,87.0,2691,N/A,N/A,N/A,1,8,2,1,N/A,N/A,N/A,N/A,7,5,N/A,1,5,3,2,3,219,21,93,91,36,1,N/A,N/A,91,N/A,3,0,1,1,133,2,N/A,0,9,7,4,2,66.7
Jack Taylor,ie IRL,MF,Ipswich Town,26,766,1,0,3,0,0.7,0.5,11,41,21,0.12,0.0,0.08,0.06,N/A,0.47,0.06,23.0,306,82.3,5426,N/A,N/A,N/A,5,29,8,1,N/A,N/A,N/A,N/A,20,10,N/A,11,10,3,7,9,477,28,140,259,89,8,N/A,N/A,232,N/A,10,1,10,6,303,16,N/A,0,6,48,7,7,50.0
Mathys Tel,fr FRA,FW,Tottenham,20,649,2,1,1,0,2.3,1.4,18,16,57,0.28,0.14,0.32,0.19,N/A,0.97,0.05,16.2,148,70.8,2599,N/A,N/A,N/A,10,9,12,4,N/A,N/A,N/A,N/A,8,3,N/A,7,6,0,6,0,315,2,33,117,173,32,N/A,N/A,208,N/A,18,7,19,11,221,8,N/A,0,29,29,4,3,57.1
Kenny Tete,nl NED,DF,Fulham,29,1504,0,2,4,0,1.2,0.9,33,50,47,0.0,0.12,0.07,0.05,N/A,0.12,0.0,16.1,669,81.3,10740,N/A,N/A,N/A,7,60,9,6,N/A,N/A,N/A,N/A,50,34,N/A,14,22,6,16,29,1033,58,332,422,287,32,N/A,N/A,534,N/A,20,7,16,10,596,28,N/A,1,29,65,18,12,60.0
Thiago,br BRA,FW,Brentford,23,142,0,0,0,0,0.1,0.1,3,2,4,0.0,0.0,0.06,0.04,N/A,0.0,0.0,14.7,31,70.5,461,N/A,N/A,N/A,2,1,1,0,N/A,N/A,N/A,N/A,3,2,N/A,1,2,0,2,2,64,6,12,26,27,3,N/A,N/A,35,N/A,2,1,5,1,39,3,N/A,1,1,10,6,4,60.0
Luke Thomas,eng ENG,DF,Leicester City,23,873,0,0,1,0,0.4,0.3,3,30,13,0.0,0.0,0.04,0.03,N/A,0.0,0.0,16.8,418,79.3,6775,N/A,N/A,N/A,7,27,3,1,N/A,N/A,N/A,N/A,25,20,N/A,14,13,5,8,18,644,39,237,312,99,7,N/A,N/A,314,N/A,7,2,10,2,363,6,N/A,0,23,36,11,11,50.0
Youri Tielemans,be BEL,MF,Aston Villa,28,2997,3,7,4,0,3.1,6.9,39,234,48,0.09,0.21,0.09,0.21,N/A,0.36,0.08,20.3,1679,82.1,28817,N/A,N/A,N/A,59,228,37,4,N/A,N/A,N/A,N/A,83,57,N/A,33,37,16,21,22,2361,100,472,1357,557,42,N/A,N/A,1275,N/A,26,9,30,29,1654,41,N/A,0,118,145,22,18,55.0
Kieran Tierney,sct SCO,"DF,FW",Arsenal,27,181,0,0,0,0,0.2,0.9,5,12,22,0.0,0.0,0.1,0.43,N/A,0.0,0.0,2.6,96,82.1,1508,N/A,N/A,N/A,7,7,5,2,N/A,N/A,N/A,N/A,5,4,N/A,2,0,0,0,2,133,4,20,46,67,4,N/A,N/A,58,N/A,3,1,1,0,90,0,N/A,2,10,3,3,5,37.5
Jurriën Timber,nl NED,DF,Arsenal,23,2417,1,3,7,0,1.2,0.8,57,146,104,0.04,0.11,0.05,0.03,N/A,0.15,0.07,14.1,1194,85.6,17327,N/A,N/A,N/A,17,107,17,2,N/A,N/A,N/A,N/A,58,38,N/A,9,19,4,15,22,1661,51,304,859,505,66,N/A,N/A,890,N/A,27,11,33,24,1052,31,N/A,6,28,94,22,20,52.4
Jean-Clair Todibo,fr FRA,DF,West Ham,25,1564,0,0,2,0,0.2,0.0,9,31,5,0.0,0.0,0.01,0.0,N/A,0.0,0.0,14.6,788,87.4,14042,N/A,N/A,N/A,2,40,1,0,N/A,N/A,N/A,N/A,40,24,N/A,8,24,12,12,21,1090,146,603,452,44,10,N/A,N/A,623,N/A,5,0,13,9,735,11,N/A,0,3,65,23,24,48.9
Harry Toffolo,eng ENG,DF,Nott'ham Forest,29,137,0,0,1,0,0.0,0.0,0,2,4,0.0,0.0,0.01,0.0,N/A,0.0,0.0,28.5,47,70.1,653,N/A,N/A,N/A,0,1,0,0,N/A,N/A,N/A,N/A,5,3,N/A,1,2,2,0,2,88,9,32,22,34,2,N/A,N/A,17,N/A,0,0,0,0,30,1,N/A,0,4,2,1,0,100.0
Sandro Tonali,it ITA,MF,Newcastle Utd,25,2360,3,2,5,0,3.7,1.4,33,116,48,0.11,0.08,0.14,0.05,N/A,0.38,0.09,19.6,1136,83.5,17948,N/A,N/A,N/A,20,91,26,4,N/A,N/A,N/A,N/A,47,30,N/A,22,32,10,22,33,1624,63,372,896,382,41,N/A,N/A,877,N/A,34,5,27,23,1126,36,N/A,2,31,163,12,11,52.2
Pau Torres,es ESP,DF,Aston Villa,28,1819,0,0,1,0,0.5,0.1,33,77,4,0.0,0.0,0.03,0.0,N/A,0.1,0.0,11.7,1079,88.7,18849,N/A,N/A,N/A,2,96,7,0,N/A,N/A,N/A,N/A,20,14,N/A,6,14,10,4,9,1349,218,654,622,79,16,N/A,N/A,839,N/A,20,0,4,4,963,8,N/A,0,1,54,16,26,38.1
Conor Townsend,eng ENG,DF,Ipswich Town,32,335,0,1,1,0,0.0,0.7,2,8,13,0.0,0.27,0.01,0.18,N/A,0.0,0.0,16.7,80,63.0,1418,N/A,N/A,N/A,4,7,2,2,N/A,N/A,N/A,N/A,11,8,N/A,3,8,6,2,4,172,28,87,50,38,5,N/A,N/A,53,N/A,2,0,2,2,75,2,N/A,0,12,8,6,4,60.0
Adama Traoré,es ESP,"FW,MF",Fulham,29,1592,2,6,3,0,3.9,4.7,89,61,145,0.11,0.34,0.22,0.27,N/A,0.62,0.05,14.3,386,72.0,6023,N/A,N/A,N/A,38,32,33,18,N/A,N/A,N/A,N/A,17,12,N/A,8,7,0,7,1,737,4,75,260,424,88,N/A,N/A,490,N/A,42,33,34,21,556,20,N/A,1,92,78,24,26,48.0
Mark Travers,ie IRL,GK,Bournemouth,25,450,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,100,70.4,3469,N/A,N/A,N/A,0,3,0,0,N/A,N/A,N/A,N/A,0,0,N/A,0,0,0,0,0,162,144,159,3,0,0,N/A,N/A,85,N/A,0,0,0,0,68,0,N/A,0,0,3,1,0,100.0
Kieran Trippier,eng ENG,DF,Newcastle Utd,34,1281,0,3,1,0,0.1,1.3,25,111,53,0.0,0.21,0.01,0.09,N/A,0.0,0.0,22.2,1000,82.1,17045,N/A,N/A,N/A,19,67,20,2,N/A,N/A,N/A,N/A,37,20,N/A,14,11,3,8,12,1347,50,373,594,389,12,N/A,N/A,587,N/A,14,4,11,8,818,16,N/A,2,79,65,21,15,58.3
Leandro Trossard,be BEL,FW,Arsenal,30,2354,8,5,4,1,6.8,5.3,75,95,207,0.31,0.19,0.26,0.2,N/A,0.8,0.12,15.9,632,73.7,10332,N/A,N/A,N/A,37,41,43,9,N/A,N/A,N/A,N/A,26,17,N/A,22,31,0,31,9,1149,15,120,361,685,143,N/A,N/A,733,N/A,49,29,57,43,857,25,N/A,6,79,93,6,22,21.4
Kostas Tsimikas,gr GRE,DF,Liverpool,28,747,0,1,2,0,0.4,2.1,16,71,42,0.0,0.12,0.05,0.26,N/A,0.24,0.0,16.1,507,83.8,8637,N/A,N/A,N/A,16,41,11,4,N/A,N/A,N/A,N/A,29,18,N/A,7,5,2,3,10,689,29,169,307,218,12,N/A,N/A,342,N/A,6,2,5,4,438,9,N/A,1,61,27,5,6,45.5
Axel Tuanzebe,cd COD,DF,Ipswich Town,27,1446,0,1,5,1,0.2,0.3,9,46,8,0.0,0.06,0.01,0.02,N/A,0.0,0.0,15.7,538,83.0,8269,N/A,N/A,N/A,4,50,3,0,N/A,N/A,N/A,N/A,29,17,N/A,8,18,9,9,21,793,89,343,348,108,6,N/A,N/A,339,N/A,6,1,11,1,410,13,N/A,0,6,43,16,16,50.0
Destiny Udogie,it ITA,DF,Tottenham,22,1834,0,1,2,0,0.3,1.5,54,120,93,0.0,0.05,0.01,0.07,N/A,0.05,0.0,15.1,947,87.4,13710,N/A,N/A,N/A,16,88,6,1,N/A,N/A,N/A,N/A,74,47,N/A,14,40,6,34,21,1336,60,377,591,383,49,N/A,N/A,735,N/A,39,12,32,19,796,29,N/A,2,19,109,13,13,50.0
Manuel Ugarte Ribeiro,uy URU,MF,Manchester Utd,24,1706,1,2,10,0,1.0,1.1,16,59,20,0.05,0.11,0.05,0.06,N/A,0.21,0.05,21.7,765,87.9,12528,N/A,N/A,N/A,10,54,9,3,N/A,N/A,N/A,N/A,74,46,N/A,38,31,4,27,26,1111,43,317,613,201,16,N/A,N/A,642,N/A,16,1,29,25,693,38,N/A,0,7,117,17,18,48.6
Lesley Ugochukwu,fr FRA,MF,Southampton,21,1525,1,1,6,0,0.9,1.0,29,49,20,0.06,0.06,0.05,0.06,N/A,0.06,0.1,17.0,570,84.9,8828,N/A,N/A,N/A,14,52,7,1,N/A,N/A,N/A,N/A,49,24,N/A,15,26,9,17,14,838,46,199,478,167,24,N/A,N/A,459,N/A,15,6,12,13,570,28,N/A,0,6,62,20,17,54.1
Enes Ünal,tr TUR,"FW,MF",Bournemouth,27,345,2,1,2,0,2.7,0.4,4,12,22,0.52,0.26,0.72,0.1,N/A,1.83,0.1,14.6,63,63.6,685,N/A,N/A,N/A,4,4,4,0,N/A,N/A,N/A,N/A,1,0,N/A,3,1,0,1,0,172,6,14,63,95,26,N/A,N/A,91,N/A,3,1,17,13,133,6,N/A,1,4,16,24,22,52.2
Virgil van Dijk,nl NED,DF,Liverpool,33,3150,3,1,4,0,2.2,0.7,18,180,6,0.09,0.03,0.06,0.02,N/A,0.23,0.11,13.1,2543,91.6,46352,N/A,N/A,N/A,12,269,6,0,N/A,N/A,N/A,N/A,35,17,N/A,9,25,14,11,54,3125,425,1257,1719,159,48,N/A,N/A,1746,N/A,22,3,9,5,2153,16,N/A,0,1,110,111,46,70.7
Jamie Vardy,eng ENG,FW,Leicester City,38,2655,8,3,5,0,10.7,2.9,27,20,110,0.27,0.1,0.36,0.1,N/A,0.75,0.13,12.4,243,66.8,3497,N/A,N/A,N/A,18,10,9,1,N/A,N/A,N/A,N/A,18,13,N/A,9,8,4,4,5,555,29,57,255,248,105,N/A,N/A,264,N/A,11,14,34,12,356,22,N/A,25,11,35,49,51,49.0
Renato Veiga,pt POR,"DF,MF",Chelsea,21,181,0,0,2,0,0.1,0.0,4,7,3,0.0,0.0,0.07,0.0,N/A,0.5,0.0,17.1,118,84.9,2171,N/A,N/A,N/A,0,6,1,0,N/A,N/A,N/A,N/A,9,6,N/A,8,3,1,2,1,167,2,61,82,27,3,N/A,N/A,85,N/A,5,1,1,0,110,6,N/A,1,0,9,3,3,50.0
Joël Veltman,nl NED,DF,Brighton,33,1665,0,0,4,0,0.5,0.5,30,80,32,0.0,0.0,0.03,0.02,N/A,0.05,0.0,19.7,719,79.9,12118,N/A,N/A,N/A,6,62,8,5,N/A,N/A,N/A,N/A,42,28,N/A,21,22,7,15,18,1102,65,328,544,240,10,N/A,N/A,526,N/A,22,3,19,7,599,27,N/A,0,23,68,21,18,53.8
Micky van de Ven,nl NED,DF,Tottenham,24,950,0,2,4,0,0.6,1.2,8,51,1,0.0,0.19,0.05,0.11,N/A,0.19,0.0,11.1,706,91.0,13313,N/A,N/A,N/A,2,50,1,0,N/A,N/A,N/A,N/A,10,6,N/A,6,9,6,3,10,862,101,442,393,36,9,N/A,N/A,599,N/A,10,1,5,4,629,10,N/A,0,0,61,19,18,51.4
Bart Verbruggen,nl NED,GK,Brighton,22,2970,0,1,5,0,0.0,0.0,0,2,0,0.0,0.03,0.0,0.0,N/A,0.0,N/A,N/A,938,76.9,22231,N/A,N/A,N/A,1,18,1,0,N/A,N/A,N/A,N/A,0,0,N/A,3,1,0,1,0,1304,1034,1291,13,0,0,N/A,N/A,879,N/A,1,1,2,0,836,0,N/A,0,0,58,10,1,90.9
Jannik Vestergaard,dk DEN,DF,Leicester City,32,1391,0,0,5,0,0.1,0.1,3,32,2,0.0,0.0,0.01,0.01,N/A,0.13,0.0,9.7,870,90.7,14697,N/A,N/A,N/A,3,34,1,0,N/A,N/A,N/A,N/A,22,10,N/A,6,21,14,7,16,1092,196,572,497,28,10,N/A,N/A,672,N/A,3,0,2,0,757,12,N/A,0,0,46,26,19,57.8
Guglielmo Vicario,it ITA,GK,Tottenham,28,2070,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,737,87.6,14516,N/A,N/A,N/A,0,1,0,0,N/A,N/A,N/A,N/A,0,0,N/A,0,0,0,0,1,892,599,874,18,0,0,N/A,N/A,636,N/A,0,0,0,0,577,0,N/A,0,0,32,9,0,100.0
Kyle Walker,eng ENG,DF,Manchester City,34,970,0,0,3,0,0.1,0.4,12,64,11,0.0,0.0,0.01,0.04,N/A,0.19,0.0,27.7,724,87.7,11928,N/A,N/A,N/A,7,63,7,4,N/A,N/A,N/A,N/A,17,10,N/A,12,13,4,9,3,892,26,197,473,228,5,N/A,N/A,499,N/A,13,0,9,2,630,6,N/A,1,14,46,9,7,56.3
Kyle Walker-Peters,eng ENG,DF,Southampton,28,2918,0,2,5,0,0.8,2.8,114,139,144,0.0,0.06,0.03,0.09,N/A,0.19,0.0,18.3,1493,88.2,22418,N/A,N/A,N/A,24,119,30,4,N/A,N/A,N/A,N/A,44,29,N/A,19,27,15,12,19,2022,151,615,884,540,59,N/A,N/A,1271,N/A,72,24,32,39,1433,28,N/A,2,51,135,11,21,34.4
Christian Walton,eng ENG,GK,Ipswich Town,29,540,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,152,67.3,4170,N/A,N/A,N/A,1,1,0,0,N/A,N/A,N/A,N/A,0,0,N/A,1,0,0,0,0,242,224,241,1,0,0,N/A,N/A,122,N/A,0,0,0,0,117,0,N/A,0,0,5,2,0,100.0
Aaron Wan-Bissaka,eng ENG,DF,West Ham,27,2884,2,3,1,0,1.2,3.2,101,132,150,0.06,0.09,0.04,0.1,N/A,0.16,0.13,15.1,1321,80.5,18817,N/A,N/A,N/A,30,89,32,11,N/A,N/A,N/A,N/A,64,45,N/A,7,32,9,23,60,2039,136,628,877,564,44,N/A,N/A,961,N/A,59,13,31,21,1174,22,N/A,4,70,163,22,30,42.3
Danny Ward,wls WAL,GK,Leicester City,31,135,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,41,77.4,1162,N/A,N/A,N/A,0,2,0,0,N/A,N/A,N/A,N/A,0,0,N/A,0,0,0,0,0,55,40,55,0,0,0,N/A,N/A,44,N/A,0,0,0,0,35,0,N/A,0,0,1,0,0,N/A
James Ward-Prowse,eng ENG,MF,Nott'ham Forest,30,400,0,1,2,1,0.1,1.1,1,16,3,0.0,0.23,0.01,0.25,N/A,0.23,0.0,29.0,145,79.7,2296,N/A,N/A,N/A,4,16,2,0,N/A,N/A,N/A,N/A,4,1,N/A,0,3,2,1,5,205,13,49,115,45,1,N/A,N/A,92,N/A,3,0,3,3,115,7,N/A,0,19,19,3,5,37.5
Ollie Watkins,eng ENG,FW,Aston Villa,29,2333,15,7,2,0,14.7,3.0,52,29,148,0.58,0.27,0.57,0.12,N/A,1.27,0.17,12.2,284,74.2,3580,N/A,N/A,N/A,23,12,12,0,N/A,N/A,N/A,N/A,9,6,N/A,8,11,3,8,8,636,18,48,229,368,155,N/A,N/A,375,N/A,21,36,53,46,502,27,N/A,13,7,39,47,62,43.1
Adam Webster,eng ENG,DF,Brighton,30,617,0,0,0,0,0.0,0.5,7,40,2,0.0,0.0,0.0,0.07,N/A,0.15,0.0,15.3,429,85.6,7934,N/A,N/A,N/A,3,32,2,0,N/A,N/A,N/A,N/A,8,5,N/A,6,12,9,3,14,569,84,279,271,22,8,N/A,N/A,326,N/A,2,0,3,1,384,5,N/A,1,1,20,17,4,81.0
Danny Welbeck,eng ENG,FW,Brighton,34,1942,9,4,5,0,8.1,1.2,19,42,83,0.42,0.19,0.38,0.06,N/A,0.93,0.17,15.2,368,84.2,4306,N/A,N/A,N/A,19,17,13,0,N/A,N/A,N/A,N/A,23,14,N/A,11,17,2,15,5,648,15,50,277,326,90,N/A,N/A,395,N/A,20,7,45,25,483,11,N/A,4,3,40,15,29,34.1
Welington,br BRA,"DF,MF",Southampton,24,215,0,0,1,0,0.0,0.0,3,6,10,0.0,0.0,0.02,0.01,N/A,0.0,0.0,31.3,69,77.5,1098,N/A,N/A,N/A,2,5,5,4,N/A,N/A,N/A,N/A,13,5,N/A,5,3,1,2,3,131,11,46,48,40,2,N/A,N/A,47,N/A,3,1,6,0,55,3,N/A,0,10,10,0,2,0.0
Timo Werner,de GER,"FW,MF",Tottenham,29,516,0,3,0,0,1.0,2.5,42,30,89,0.0,0.52,0.17,0.44,N/A,0.52,0.0,18.2,158,66.9,2383,N/A,N/A,N/A,10,3,15,2,N/A,N/A,N/A,N/A,6,4,N/A,10,10,1,9,1,298,8,24,78,203,33,N/A,N/A,215,N/A,24,18,14,6,227,3,N/A,5,28,18,0,1,0.0
