Player,Nation,Pos,Team,Age,Standard_Min,Standard_Gls,Standard_Ast,Standard_CrdY,Standard_CrdR,Standard_xG,Standard_xAG,Standard_PrgC,Standard_PrgP,Standard_PrgR,Standard_Gls/90,Standard_Ast/90,Standard_xG/90,Standard_xAG/90,Shooting_SoT%,Shooting_SoT/90,Shooting_G/Sh,Shooting_Dist,Passing_Cmp,Passing_Total_Cmp%,Passing_TotDist,Passing_Short_Cmp%,Passing_Medium_Cmp%,Passing_Long_Cmp%,Passing_KP,Passing_1/3,Passing_PPA,Passing_CrsPA,Goalkeeping_GA90,Goalkeeping_Save%,Goalkeeping_CS%,Goalkeeping_Penalty_Save%,Defense_Tkl,Defense_TklW,Defense_Att,Defense_Lost,Defense_Blocks,Defense_Sh,Defense_Pass,Defense_Int,Possession_Touches,Possession_Def Pen,Possession_Def 3rd,Possession_Mid 3rd,Possession_Att 3rd,Possession_Att Pen,Possession_Succ%,Possession_Tkld%,Possession_Carries,Possession_PrgDist,Possession_1/3,Possession_CPA,Possession_Mis,Possession_Dis,Possession_Rec,Misc_Fls,Misc_Fld,Misc_Off,Misc_Crs,Misc_Recov,Misc_Won,Misc_Lost,Misc_Won%
Álex Moreno,es ESP,"DF,MF",Nott'ham Forest,31,955,0,1,2,0,0.2,1.3,26,34,34,0.0,0.09,0.02,0.12,N/A,0.0,0.0,23.7,308,72.0,4574,N/A,N/A,N/A,8,25,9,2,N/A,N/A,N/A,N/A,25,18,N/A,24,11,5,6,15,559,60,210,202,158,8,N/A,N/A,229,N/A,16,4,13,6,258,12,N/A,0,19,50,3,11,21.4
Sam Morsy,eg EGY,MF,Ipswich Town,33,2486,1,1,10,0,0.3,0.8,16,104,9,0.04,0.04,0.01,0.03,N/A,0.07,0.11,26.3,1103,86.2,17664,N/A,N/A,N/A,18,132,13,2,N/A,N/A,N/A,N/A,62,36,N/A,31,32,13,19,28,1498,88,447,855,210,4,N/A,N/A,761,N/A,20,2,15,10,999,45,N/A,0,12,138,17,23,42.5
Yerson Mosquera,co COL,DF,Wolves,24,441,0,0,2,0,0.3,0.1,0,7,0,0.0,0.0,0.07,0.02,N/A,0.0,0.0,12.4,205,85.4,3996,N/A,N/A,N/A,2,16,1,1,N/A,N/A,N/A,N/A,11,7,N/A,5,13,10,3,10,294,43,170,115,12,7,N/A,N/A,168,N/A,1,0,4,1,182,6,N/A,1,2,24,11,6,64.7
Mason Mount,eng ENG,"MF,FW",Manchester Utd,26,430,1,0,3,0,2.3,0.2,11,21,23,0.21,0.0,0.48,0.04,N/A,1.05,0.08,15.7,142,80.2,1994,N/A,N/A,N/A,5,11,4,1,N/A,N/A,N/A,N/A,10,4,N/A,2,8,1,7,3,233,6,31,119,86,20,N/A,N/A,149,N/A,9,2,9,9,172,14,N/A,0,9,15,4,6,40.0
Mykhailo Mudryk,ua UKR,FW,Chelsea,24,151,0,0,0,0,0.3,1.0,7,5,12,0.0,0.0,0.15,0.58,N/A,0.6,0.0,11.6,28,66.7,431,N/A,N/A,N/A,2,2,2,1,N/A,N/A,N/A,N/A,2,2,N/A,0,3,1,2,0,62,3,12,15,38,6,N/A,N/A,39,N/A,8,0,3,7,42,2,N/A,1,7,9,2,4,33.3
Marshall Munetsi,zw ZIM,"MF,FW",Wolves,28,878,1,1,0,0,3.0,1.5,7,8,26,0.1,0.1,0.31,0.15,N/A,0.51,0.07,14.8,125,72.7,1520,N/A,N/A,N/A,7,4,2,1,N/A,N/A,N/A,N/A,21,10,N/A,8,12,1,11,6,302,17,50,161,94,24,N/A,N/A,119,N/A,3,3,28,12,150,15,N/A,3,6,31,24,18,57.1
Rodrigo Muniz,br BRA,FW,Fulham,24,964,8,1,1,0,5.8,0.7,6,27,31,0.75,0.09,0.54,0.07,N/A,1.77,0.21,12.0,92,64.8,1540,N/A,N/A,N/A,7,13,3,0,N/A,N/A,N/A,N/A,10,5,N/A,0,9,2,7,5,311,14,27,161,127,55,N/A,N/A,157,N/A,4,3,47,24,237,11,N/A,3,1,14,67,63,51.5
Daniel Muñoz,co COL,DF,Crystal Palace,28,2958,4,4,10,0,4.7,4.5,54,89,191,0.12,0.12,0.14,0.14,N/A,0.4,0.12,12.3,1052,75.6,16013,N/A,N/A,N/A,41,53,33,14,N/A,N/A,N/A,N/A,113,74,N/A,37,36,4,32,40,1871,111,524,768,598,95,N/A,N/A,730,N/A,35,15,50,18,883,49,N/A,13,68,155,58,75,43.6
Arijanet Muric,xk KVX,GK,Ipswich Town,26,1620,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,454,71.7,11705,N/A,N/A,N/A,0,14,0,0,N/A,N/A,N/A,N/A,0,0,N/A,2,0,0,0,0,689,559,672,18,0,0,N/A,N/A,405,N/A,0,0,3,1,321,0,N/A,0,0,26,11,1,91.7
Murillo,br BRA,DF,Nott'ham Forest,22,3008,2,0,5,0,1.4,1.1,20,103,5,0.06,0.0,0.04,0.03,N/A,0.18,0.08,22.2,1056,78.2,20985,N/A,N/A,N/A,12,124,13,1,N/A,N/A,N/A,N/A,53,36,N/A,19,67,44,23,32,1792,400,921,789,96,21,N/A,N/A,760,N/A,24,1,18,10,912,25,N/A,0,12,134,43,21,67.2
Jacob Murphy,eng ENG,FW,Newcastle Utd,30,2139,8,11,3,0,5.7,8.1,70,67,216,0.34,0.46,0.24,0.34,N/A,0.63,0.19,18.2,611,68.3,9226,N/A,N/A,N/A,38,49,35,14,N/A,N/A,N/A,N/A,22,15,N/A,15,31,0,31,11,1140,21,162,421,568,88,N/A,N/A,665,N/A,31,25,30,34,824,11,N/A,3,110,92,4,15,21.1
Vitaliy Mykolenko,ua UKR,DF,Everton,25,2812,0,1,3,0,0.4,1.6,31,105,90,0.0,0.03,0.01,0.05,N/A,0.0,0.0,20.5,908,74.4,15184,N/A,N/A,N/A,20,96,37,22,N/A,N/A,N/A,N/A,55,33,N/A,25,24,9,15,37,1541,115,480,656,416,30,N/A,N/A,636,N/A,27,1,21,10,783,20,N/A,3,91,79,46,36,56.1
Iliman Ndiaye,sn SEN,FW,Everton,25,2252,7,0,3,0,5.2,1.6,81,50,115,0.28,0.0,0.21,0.06,N/A,0.52,0.16,17.4,543,80.8,8134,N/A,N/A,N/A,17,35,14,5,N/A,N/A,N/A,N/A,48,25,N/A,26,27,5,22,17,1000,34,202,411,435,77,N/A,N/A,575,N/A,41,30,49,43,612,24,N/A,5,38,163,6,19,24.0
Wilfred Ndidi,ng NGA,MF,Leicester City,28,2147,0,4,8,0,2.0,1.8,17,65,75,0.0,0.17,0.09,0.08,N/A,0.34,0.0,13.9,775,80.3,11104,N/A,N/A,N/A,15,62,10,3,N/A,N/A,N/A,N/A,81,50,N/A,27,47,19,28,26,1298,113,430,634,246,60,N/A,N/A,628,N/A,23,2,34,33,772,39,N/A,3,30,121,55,55,50.0
Kosta Nedeljković,rs SRB,DF,Aston Villa,19,126,0,0,0,0,0.0,0.0,1,6,0,0.0,0.0,0.0,0.0,N/A,0.0,N/A,N/A,47,88.7,853,N/A,N/A,N/A,0,5,0,0,N/A,N/A,N/A,N/A,7,5,N/A,1,1,0,1,0,66,4,15,32,19,0,N/A,N/A,27,N/A,0,0,1,0,32,0,N/A,0,1,4,0,1,0.0
